date,S,I,R,observed_I,beta,nu
2022-06-18,14109340.72567571,33509.36508479611,557149.9092394972,1323982.0,1.0812986268511735,1.0
2022-06-25,14074562.995213982,34777.73046172824,590659.2743242932,1329416.0,1.0812986268511735,1.0
2022-07-02,14038557.85776458,36005.1374494031,625437.0047860215,1336059.0,1.0812986268511735,1.0
2022-07-09,14001377.352602962,37180.50516161763,661442.1422354246,1344883.0,1.0812986268511735,1.0
2022-07-16,13963084.79597039,38292.5566325725,698622.6473970423,1356422.0,1.0812986268511735,1.0
2022-07-23,13923754.786091344,39330.009879045574,736915.2040296148,1368682.0,1.0812986268511735,1.0
2022-07-30,13883472.998184869,40281.78790647535,776245.2139086603,1379922.0,1.0812986268511735,1.0
2022-08-06,13842335.755844072,41137.24234079829,816527.0018151357,1390463.0,1.0812986268511735,1.0
2022-08-13,13800449.371731697,41886.38411237569,857664.244155934,1400429.0,1.0812986268511735,1.0
2022-08-20,13757929.25815192,42520.1135797769,899550.6282683096,1410118.0,1.0812986268511735,1.0
2022-08-27,13714898.816389607,43030.441762313174,942070.7418480866,1419317.0,1.0812986268511735,1.0
2022-09-03,13671488.122348486,43410.69404112244,985101.1836103997,1427570.0,1.0812986268511735,1.0
2022-09-10,13627832.43449275,43655.687855736156,1028511.8776515222,1434645.0,1.0812986268511735,1.0
2022-09-17,13584070.557893349,43761.87659940068,1072167.5655072583,1442405.0,1.0812986268511735,1.0
2022-09-24,13540343.104798993,43727.453094356526,1115929.442106659,1450630.0,1.0812986268511735,1.0
2022-10-01,13496790.697142579,43552.40765641354,1159656.8952010155,1458984.0,1.0812986268511735,1.0
2022-10-08,13453552.159399498,43238.53774308027,1203209.302857429,1468042.0,1.0812986268511735,1.0
2022-10-15,13410762.751006903,42789.408392594225,1246447.8406005092,1477525.0,1.0812986268511735,1.0
2022-10-22,13368552.486056875,42210.26495002807,1289237.2489931034,1487428.0,1.0812986268511735,1.0
2022-10-29,13327044.584277255,41507.90177962047,1331447.5139431315,1497336.0,1.0812986268511735,1.0
2022-11-05,13286354.091652371,40690.49262488422,1372955.415722752,1505444.0,1.0812986268511735,1.0
2022-11-12,13246586.701785007,39767.38986736357,1413645.9083476362,1511448.0,1.0812986268511735,1.0
2022-11-19,13207837.800731603,38748.90105340426,1453413.2982149997,1516685.0,1.0812986268511735,1.0
2022-11-26,13170191.749080384,37646.05165121835,1492162.199268404,1521296.0,1.0812986268511735,1.0
2022-12-03,13133721.406021256,36470.34305912724,1529808.2509196224,1526202.0,1.0812986268511735,1.0
2022-12-10,13098487.891576169,35233.51444508752,1566278.5939787496,1531452.0,1.0812986268511735,1.0
2022-12-17,13064540.575447017,33947.31612915149,1601512.108423837,1537450.0,1.0812986268511735,1.0
2022-12-24,13031917.274424406,32623.301022612446,1635459.4245529885,1543944.0,1.0812986268511735,1.0
2022-12-31,13000644.635201348,31272.63922305723,1668082.725575601,1550579.0,1.0812986268511735,1.0
2023-01-07,12970738.675852507,29905.9593488405,1699355.3647986583,1557996.0,1.0812986268511735,1.0
2023-01-14,12942205.457165394,28533.218687113447,1729261.3241474987,1563976.0,1.0812986268511735,1.0
2023-01-21,12915041.8543475,27163.602817894636,1757794.542834612,1569190.0,1.0812986268511735,1.0
2023-01-28,12889236.40021462,25805.454132879535,1784958.1456525067,1574166.0,1.0812986268511735,1.0
2023-02-04,12864770.17257625,24466.227638368717,1810763.5997853864,1578892.0,1.0812986268511735,1.0
2023-02-11,12841617.700935809,23152.471640441665,1835229.827423755,1583510.0,1.0812986268511735,1.0
2023-02-18,12819747.870575408,21869.83036040142,1858382.2990641966,1587843.0,1.0812986268511735,1.0
2023-02-25,12799124.805369373,20623.065206034877,1880252.129424598,1591788.0,1.0812986268511735,1.0
2023-03-04,12779708.714065619,19416.091303754434,1900875.1946306329,1595697.0,1.0812986268511735,1.0
2023-03-11,12761456.68812056,18252.025945057303,1920291.2859343872,1599432.0,1.0812986268511735,1.0
2023-03-18,12744323.44233915,17133.24578141029,1938543.3118794446,1603002.0,1.0812986268511735,1.0
2023-03-25,12728261.992461044,16061.44987810541,1955676.557660855,1606398.0,1.0812986268511735,1.0
2023-04-01,12713224.26638517,15037.726075874178,1971738.0075389603,1609159.0,1.0812986268511735,1.0
2023-04-08,12699161.647905767,14062.618479403636,1986775.7336148345,1611310.0,1.0812986268511735,1.0
2023-04-15,12686025.453635905,13136.194269861313,2000838.3520942382,1613572.0,1.0812986268511735,1.0
2023-04-22,12673767.345230836,12258.108405069335,2013974.5463640995,1615279.0,1.0812986268511735,1.0
2023-04-29,12662339.680118544,11427.665112291917,2026232.654769169,1616798.0,1.0812986268511735,1.0
2023-05-06,12651695.804732876,10643.875385668342,2037660.3198814609,1618249.0,1.0812986268511735,1.0
2023-05-13,12641790.294764768,9905.50996810795,2048304.1952671292,1619627.0,1.0812986268511735,1.0
2023-05-20,12632579.147240601,9211.147524167412,2058209.7052352373,1620888.0,1.0812986268511735,1.0
2023-05-27,12624019.92934389,8559.21789671118,2067420.8527594046,1622095.0,1.0812986268511735,1.0
2023-06-03,12616071.888855478,7948.040488413389,2075980.0706561157,1623247.0,1.0812986268511735,1.0
2023-06-10,12608696.030932555,7375.857922922128,2083928.111144529,1624128.0,1.0812986268511735,1.0
2023-06-17,12601855.165708626,6840.8652239298035,2091303.969067451,1624880.0,1.0812986268511735,1.0
2023-06-24,12595513.93090076,6341.234807866482,2098144.834291381,1625513.0,1.0812986268511735,1.0
2023-07-01,12589638.793278966,5875.137621793872,2104486.0690992475,1626031.0,1.0812986268511735,1.0
2023-07-08,12584198.032502554,5440.7607764125405,2110361.2067210414,1626477.0,1.0812986268511735,1.0
2023-07-15,12579161.71047394,5036.322028614354,2115801.967497454,1627050.0,1.0812986268511735,1.0
2023-07-22,12574501.629011955,4660.081461984484,2120838.2895260686,1627710.0,1.0812986268511735,1.0
2023-07-29,12570191.27831207,4310.350699885704,2125498.3709880533,1628415.0,1.0812986268511735,1.0
2023-08-05,12566205.778345482,3985.4999665885844,2129808.721687939,1629093.0,1.0812986268511735,1.0
2023-08-12,12562521.81505622,3683.9632892627405,2133794.221654528,1629820.0,1.0812986268511735,1.0
2023-08-19,12559117.572947172,3404.2421090478324,2137478.1849437905,1630982.0,1.0812986268511735,1.0
2023-08-26,12555972.665403102,3144.9075440701754,2140882.4270528383,1632541.0,1.0812986268511735,1.0
2023-09-02,12553068.06388104,2904.601522062337,2144027.3345969087,1634125.0,1.0812986268511735,1.0
2023-09-09,12550386.026905203,2682.036975836256,2146931.936118971,1635959.0,1.0812986268511735,1.0
2023-09-16,12547910.02963349,2475.997271712986,2149613.9730948075,1638233.0,1.0812986268511735,1.0
